Data,Vacinados,Delta
2021-01-21 16:55:00,46682,443.0
2021-01-21 17:09:00,47214,532.0
2021-01-21 17:16:00,47630,416.0
2021-01-21 17:23:00,47849,219.0
2021-01-21 17:30:00,48203,354.0
2021-01-21 17:37:00,48535,332.0
2021-01-21 17:44:00,48707,172.0
2021-01-21 17:51:00,49172,465.0
2021-01-21 17:58:00,49346,174.0
2021-01-21 18:05:00,49614,268.0
2021-01-21 18:12:00,49968,354.0
2021-01-21 18:19:00,50175,207.0
2021-01-21 18:26:00,50557,382.0
2021-01-21 18:33:00,50661,104.0
2021-01-21 18:54:00,51442,781.0
2021-01-21 19:01:00,51819,377.0
2021-01-21 19:08:00,51931,112.0
2021-01-21 19:22:00,52470,539.0
2021-01-21 19:29:00,52594,124.0
2021-01-21 19:36:00,52925,331.0
2021-01-21 19:43:00,52973,48.0
2021-01-21 19:50:00,53310,337.0
2021-01-21 19:57:00,53414,104.0
2021-01-21 23:06:00,55030,1616.0
2021-01-21 23:13:00,55037,7.0
2021-01-21 23:20:00,55045,8.0
2021-01-21 23:27:00,55054,9.0
2021-01-21 23:34:00,55060,6.0
2021-01-21 23:41:00,55069,9.0
2021-01-21 23:55:00,55080,11.0
2021-01-22 00:09:00,55091,11.0
2021-01-22 00:16:00,55099,8.0
2021-01-22 00:23:00,55104,5.0
2021-01-22 00:30:00,55120,16.0
2021-01-22 00:37:00,55129,9.0
2021-01-22 00:44:00,55134,5.0
2021-01-22 00:51:00,55147,13.0
2021-01-22 00:58:00,55153,6.0
2021-01-22 01:05:00,55158,5.0
2021-01-22 01:12:00,55164,6.0
2021-01-22 01:26:00,55175,11.0
2021-01-22 01:33:00,55179,4.0
2021-01-22 01:40:00,55190,11.0
2021-01-22 01:47:00,55195,5.0
2021-01-22 01:54:00,55199,4.0
2021-01-22 02:01:00,55206,7.0
2021-01-22 02:12:00,55213,7.0
2021-01-22 02:22:00,55218,5.0
2021-01-22 02:37:00,110456,55238.0
2021-01-22 07:55:00,56658,-53798.0
2021-01-22 08:05:00,56748,90.0
2021-01-22 08:12:00,56919,171.0
2021-01-22 08:19:00,57013,94.0
2021-01-22 08:26:00,57245,232.0
2021-01-22 08:33:00,57268,23.0
2021-01-22 08:40:00,57329,61.0
2021-01-22 08:47:00,57356,27.0
2021-01-22 08:54:00,57376,20.0
2021-01-22 09:08:00,57483,107.0
2021-01-22 09:15:00,57866,383.0
2021-01-22 09:29:00,58583,717.0
2021-01-22 09:36:00,59343,760.0
2021-01-22 09:43:00,59718,375.0
2021-01-22 10:02:00,61169,1451.0
2021-01-22 10:11:00,62219,1050.0
2021-01-22 10:18:00,62557,338.0
2021-01-22 10:25:00,63331,774.0
2021-01-22 10:32:00,63662,331.0
2021-01-22 10:39:00,64172,510.0
2021-01-22 10:46:00,65071,899.0
2021-01-22 10:53:00,65544,473.0
2021-01-22 11:07:00,66852,1308.0
2021-01-22 11:14:00,67260,408.0
2021-01-22 12:45:00,74501,7241.0
2021-01-22 12:52:00,74789,288.0
2021-01-22 12:59:00,75108,319.0
2021-01-22 13:13:00,75482,374.0
2021-01-22 13:20:00,75604,122.0
2021-01-22 13:27:00,75857,253.0
2021-01-22 13:40:00,76028,171.0
2021-01-22 13:55:00,76257,229.0
